STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140307,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140308,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140309,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140310,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140311,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140312,89,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140313,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140314,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140315,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140316,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140317,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140318,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140319,251,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140320,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140321,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140322,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140323,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140324,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140325,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140326,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140327,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140328,8,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140329,455,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140330,94,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140331,30,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140401,0,0,0
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20140402,0,0,0
