,STATION_NAME,DATE,PRCP,SNWD,SNOW,Precip,dateCol
85,NEW YORK LAGUARDIA AIRPORT NY US,20130924,0,0,0,0,2013-09-24
86,NEW YORK LAGUARDIA AIRPORT NY US,20130925,0,0,0,0,2013-09-25
87,NEW YORK LAGUARDIA AIRPORT NY US,20130926,0,0,0,0,2013-09-26
88,NEW YORK LAGUARDIA AIRPORT NY US,20130927,0,0,0,0,2013-09-27
89,NEW YORK LAGUARDIA AIRPORT NY US,20130928,0,0,0,0,2013-09-28
90,NEW YORK LAGUARDIA AIRPORT NY US,20130929,0,0,0,0,2013-09-29
91,NEW YORK LAGUARDIA AIRPORT NY US,20130930,0,0,0,0,2013-09-30
92,NEW YORK LAGUARDIA AIRPORT NY US,20131001,0,0,0,0,2013-10-01
93,NEW YORK LAGUARDIA AIRPORT NY US,20131002,0,0,0,0,2013-10-02
94,NEW YORK LAGUARDIA AIRPORT NY US,20131003,0,0,0,0,2013-10-03
95,NEW YORK LAGUARDIA AIRPORT NY US,20131004,8,0,0,1,2013-10-04
96,NEW YORK LAGUARDIA AIRPORT NY US,20131005,0,0,0,0,2013-10-05
97,NEW YORK LAGUARDIA AIRPORT NY US,20131006,3,0,0,1,2013-10-06
98,NEW YORK LAGUARDIA AIRPORT NY US,20131007,84,0,0,1,2013-10-07
99,NEW YORK LAGUARDIA AIRPORT NY US,20131008,0,0,0,0,2013-10-08
100,NEW YORK LAGUARDIA AIRPORT NY US,20131009,0,0,0,0,2013-10-09
101,NEW YORK LAGUARDIA AIRPORT NY US,20131010,0,0,0,0,2013-10-10
102,NEW YORK LAGUARDIA AIRPORT NY US,20131011,0,0,0,0,2013-10-11
103,NEW YORK LAGUARDIA AIRPORT NY US,20131012,0,0,0,0,2013-10-12
104,NEW YORK LAGUARDIA AIRPORT NY US,20131013,0,0,0,0,2013-10-13
105,NEW YORK LAGUARDIA AIRPORT NY US,20131014,0,0,0,0,2013-10-14
106,NEW YORK LAGUARDIA AIRPORT NY US,20131015,0,0,0,0,2013-10-15
107,NEW YORK LAGUARDIA AIRPORT NY US,20131016,0,0,0,0,2013-10-16
108,NEW YORK LAGUARDIA AIRPORT NY US,20131017,3,0,0,1,2013-10-17
109,NEW YORK LAGUARDIA AIRPORT NY US,20131018,0,0,0,0,2013-10-18
110,NEW YORK LAGUARDIA AIRPORT NY US,20131019,0,0,0,0,2013-10-19
111,NEW YORK LAGUARDIA AIRPORT NY US,20131020,0,0,0,0,2013-10-20
112,NEW YORK LAGUARDIA AIRPORT NY US,20131021,0,0,0,0,2013-10-21
113,NEW YORK LAGUARDIA AIRPORT NY US,20131022,0,0,0,0,2013-10-22
114,NEW YORK LAGUARDIA AIRPORT NY US,20131023,0,0,0,0,2013-10-23
115,NEW YORK LAGUARDIA AIRPORT NY US,20131024,0,0,0,0,2013-10-24
116,NEW YORK LAGUARDIA AIRPORT NY US,20131025,0,0,0,0,2013-10-25
117,NEW YORK LAGUARDIA AIRPORT NY US,20131026,0,0,0,0,2013-10-26
118,NEW YORK LAGUARDIA AIRPORT NY US,20131027,0,0,0,0,2013-10-27
119,NEW YORK LAGUARDIA AIRPORT NY US,20131028,0,0,0,0,2013-10-28
120,NEW YORK LAGUARDIA AIRPORT NY US,20131029,0,0,0,0,2013-10-29
121,NEW YORK LAGUARDIA AIRPORT NY US,20131030,0,0,0,0,2013-10-30
122,NEW YORK LAGUARDIA AIRPORT NY US,20131031,13,0,0,1,2013-10-31
123,NEW YORK LAGUARDIA AIRPORT NY US,20131101,13,0,0,1,2013-11-01
124,NEW YORK LAGUARDIA AIRPORT NY US,20131102,3,0,0,1,2013-11-02
125,NEW YORK LAGUARDIA AIRPORT NY US,20131103,0,0,0,0,2013-11-03
126,NEW YORK LAGUARDIA AIRPORT NY US,20131104,0,0,0,0,2013-11-04
127,NEW YORK LAGUARDIA AIRPORT NY US,20131105,0,0,0,0,2013-11-05
128,NEW YORK LAGUARDIA AIRPORT NY US,20131106,0,0,0,0,2013-11-06
129,NEW YORK LAGUARDIA AIRPORT NY US,20131107,20,0,0,1,2013-11-07
